epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
,2.3942307692307694e-05,2.3942307692307694e-05,249,,,
4,,,249,0.2697853147983551,,
4,,,264,,0.48070523142814636,0.36456793546676636
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
,2.8749999999999997e-05,2.8749999999999997e-05,299,,,
5,,,299,0.231279656291008,,
5,,,317,,0.47642940282821655,0.357868492603302
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
