epoch,train_loss,val_loss,lr
1,0.5512165638647581,0.7383128506572623,0.001
2,0.48585617642653617,0.7278881778842524,0.001
3,0.48368005307097184,0.7222569655430945,0.001
4,0.4796724046217768,0.7728833905176112,0.001
5,0.4781807390325948,0.6713110237921539,0.001
6,0.47706057862231604,0.6852047080664259,0.001
7,0.47707674264907834,0.7097463988159832,0.001
8,0.47516595275778517,0.7205901714531999,0.001
9,0.474303008992421,0.7070764371831166,0.001
10,0.475972036060534,0.7036717932083105,0.001
11,0.4733820881341633,0.7148967295100814,0.001
12,0.4735008453381689,0.6611017122080451,0.001
13,0.47308302010360515,0.7174201537119714,0.001
14,0.4729979981560456,0.7443641083020913,0.001
15,0.47286304429957743,0.712835722259785,0.001
16,0.47312591217066113,0.7716468341256443,0.001
17,0.47270967897615934,0.7227349022501394,0.001
18,0.472485999402247,0.7041035739606932,0.001
19,0.47176609155378846,0.7152910907017557,0.001
20,0.4718930434553247,0.7306932340327063,0.001
21,0.47257760436911334,0.7061550725055369,0.001
22,0.4716544197421325,0.7141295761654252,0.001
23,0.4715010119739332,0.7378728260335169,0.001
24,0.4715633688474956,0.7035746813604706,0.001
25,0.4714334979496504,0.7284323133920368,0.001
26,0.47086736719859273,0.7203958434493918,0.001
27,0.4705819803946897,0.6947487467213681,0.001
28,0.47080487775175195,0.7137231809136114,0.001
29,0.47107307685048955,0.75034428231026,0.001
30,0.4706235407841833,0.738754569307754,0.001
31,0.47018729658503283,0.6907920939357657,0.001
32,0.47098985515142744,0.7141676198102926,0.001
33,0.47029625971066324,0.6763562252254862,0.001
34,0.46993594530381655,0.7477739174899302,0.001
35,0.4698983448116403,0.7023207115891733,0.001
36,0.4694395490382847,0.6879168286135322,0.001
37,0.4697496062830875,0.7572862592182661,0.001
38,0.46947460776881167,0.7014306234685999,0.001
39,0.4692292822348444,0.7061301510977117,0.001
40,0.46860598495132044,0.721957612194513,0.001
41,0.46991849022476295,0.6855370419982233,0.001
42,0.46963270692448866,0.7251124452603491,0.001
43,0.46897916072293333,0.6866874202693763,0.001
44,0.4689061958852567,0.7469671588194998,0.001
45,0.4687972348614743,0.7195100380401862,0.001
46,0.4677839070244839,0.7241857620446306,0.001
47,0.4677132165745685,0.6964443359327944,0.001
48,0.4683995914772937,0.694051446883302,0.001
49,0.4674380111380627,0.6942223949651969,0.001
50,0.4674219012260437,0.6904245197380844,0.001
