epoch,train_loss,val_loss,lr
1,0.5209559834554416,0.7570185028016567,0.001
2,0.48618332327914837,0.691001134365797,0.001
3,0.48238177541173805,0.689662079513073,0.001
4,0.4801010128830661,0.7043926678597927,0.001
5,0.4801269207431489,0.6333930980414152,0.001
6,0.47999754760946545,0.6803430575877428,0.001
7,0.4777190856197301,0.6654111091047525,0.001
8,0.4780244394635954,0.6530275762081146,0.001
9,0.4762987870754314,0.6756974749267102,0.001
10,0.476423492326456,0.6874315127730369,0.001
11,0.4754366602341668,0.6971619114279747,0.001
12,0.4756749288625076,0.7143706656992436,0.001
13,0.4755795223622763,0.6781585458666086,0.001
14,0.4742737629083024,0.6910222932696343,0.001
15,0.4742184829185991,0.6506824810057878,0.001
16,0.47658885239052173,0.7204078063368797,0.001
17,0.4766564341027196,0.6711979076266289,0.001
18,0.47424458994084046,0.6778846774250269,0.001
19,0.474626710184482,0.6812517486512661,0.001
20,0.47295030901412,0.6860133975744247,0.001
21,0.47347774807395054,0.671307135745883,0.001
22,0.475372010982838,0.7077758125960827,0.001
23,0.478136645269995,0.6875491894781589,0.001
24,0.47417094239166807,0.707133200764656,0.001
25,0.47218642415118817,0.680612363666296,0.001
26,0.47164665074909434,0.6968403607606888,0.001
27,0.4753024322646005,0.7025391027331352,0.001
28,0.47091755296001914,0.6349607706069946,0.001
29,0.47379493657029975,0.6683128561824561,0.001
30,0.4735461569258145,0.7087965756654739,0.001
31,0.4716079461724818,0.6823428943753242,0.001
32,0.4716758126346003,0.6951178073883056,0.001
33,0.47225051867861706,0.6737554468214512,0.001
34,0.47065582370557707,0.6782829940319062,0.001
35,0.4698329924159691,0.6930444218218327,0.001
36,0.4723691334243582,0.6941477507352829,0.001
37,0.47093465586169425,0.6740027334541082,0.001
38,0.4713014917714255,0.6855627954006195,0.001
39,0.471236650558079,0.6561214283108712,0.001
40,0.46968641088289376,0.6884142227470875,0.001
41,0.4703269999693422,0.6801403179764748,0.001
42,0.4717805734326859,0.6825849018990994,0.001
43,0.4707822461589044,0.6680455703288317,0.001
44,0.46956113863642474,0.6788223594427109,0.001
45,0.4697202852919322,0.7138941325247288,0.001
46,0.47036320897711426,0.6628584429621697,0.001
47,0.4703708750610592,0.6753140218555927,0.001
48,0.4695746209941992,0.6728527285158634,0.001
49,0.4713092746228731,0.6992072694003582,0.001
50,0.4699258904497163,0.6758273921906948,0.001
